account_id,week_number,week_date,logins,feature_events,support_tickets,churned_this_week
1,0,2026-05-23,3,6,0,False
1,1,2026-05-30,4,7,0,False
1,2,2026-06-06,3,6,0,False
1,3,2026-06-13,3,6,0,False
1,4,2026-06-20,4,8,0,False
1,5,2026-06-27,3,6,0,False
1,6,2026-07-04,3,7,0,False
1,7,2026-07-11,4,7,0,False
1,8,2026-07-18,2,5,0,False
1,9,2026-07-25,2,4,0,False
1,10,2026-08-01,6,11,0,False
2,0,2026-07-18,7,3,0,False
2,1,2026-07-25,5,2,0,False
2,2,2026-08-01,7,3,0,False
3,0,2025-09-13,5,2,0,False
3,1,2025-09-20,5,2,0,False
3,2,2025-09-27,5,2,0,False
3,3,2025-10-04,4,2,0,False
3,4,2025-10-11,8,3,0,False
3,5,2025-10-18,3,1,0,False
3,6,2025-10-25,4,2,0,False
3,7,2025-11-01,6,3,0,False
3,8,2025-11-08,3,1,0,False
3,9,2025-11-15,5,2,0,False
3,10,2025-11-22,7,3,0,False
3,11,2025-11-29,4,2,0,False
3,12,2025-12-06,4,2,0,False
3,13,2025-12-13,3,1,0,False
3,14,2025-12-20,5,2,0,False
3,15,2025-12-27,3,1,0,False
3,16,2026-01-03,4,2,0,False
3,17,2026-01-10,3,1,0,False
3,18,2026-01-17,2,1,0,False
3,19,2026-01-24,4,2,1,False
3,20,2026-01-31,5,2,0,False
3,21,2026-02-07,4,2,0,False
3,22,2026-02-14,4,2,0,False
3,23,2026-02-21,3,1,0,False
3,24,2026-02-28,5,2,0,False
3,25,2026-03-07,7,3,0,False
3,26,2026-03-14,3,1,0,False
3,27,2026-03-21,5,2,0,False
3,28,2026-03-28,4,2,0,False
3,29,2026-04-04,5,2,0,False
3,30,2026-04-11,6,3,0,False
3,31,2026-04-18,5,2,0,False
3,32,2026-04-25,3,2,0,False
3,33,2026-05-02,3,1,0,False
3,34,2026-05-09,3,1,0,False
3,35,2026-05-16,4,2,0,False
3,36,2026-05-23,4,2,0,False
3,37,2026-05-30,5,2,0,False
3,38,2026-06-06,5,2,0,False
3,39,2026-06-13,4,2,0,False
3,40,2026-06-20,2,1,0,False
3,41,2026-06-27,4,2,0,False
3,42,2026-07-04,4,2,0,False
3,43,2026-07-11,2,1,0,False
3,44,2026-07-18,5,2,0,False
3,45,2026-07-25,3,1,0,False
3,46,2026-08-01,5,2,0,False
4,0,2026-05-16,5,3,0,False
4,1,2026-05-23,6,3,0,False
4,2,2026-05-30,6,3,0,False
4,3,2026-06-06,6,3,0,False
4,4,2026-06-13,7,4,0,False
4,5,2026-06-20,3,2,1,False
4,6,2026-06-27,3,2,0,False
4,7,2026-07-04,7,4,0,False
4,8,2026-07-11,5,3,0,False
4,9,2026-07-18,4,2,0,False
4,10,2026-07-25,6,3,0,False
4,11,2026-08-01,7,4,0,False
5,0,2026-06-13,7,6,1,False
5,1,2026-06-20,8,6,0,False
5,2,2026-06-27,5,4,0,False
5,3,2026-07-04,6,5,0,False
5,4,2026-07-11,11,9,0,False
5,5,2026-07-18,6,5,1,False
5,6,2026-07-25,10,9,0,False
5,7,2026-08-01,5,4,1,False
6,0,2026-01-10,8,7,0,False
6,1,2026-01-17,7,7,0,False
6,2,2026-01-24,15,15,0,False
6,3,2026-01-31,6,5,0,False
6,4,2026-02-07,5,5,0,False
6,5,2026-02-14,6,6,0,False
6,6,2026-02-21,7,7,0,False
6,7,2026-02-28,5,5,0,False
6,8,2026-03-07,7,7,0,False
6,9,2026-03-14,8,7,0,False
6,10,2026-03-21,8,8,0,False
6,11,2026-03-28,6,6,0,False
6,12,2026-04-04,10,10,0,False
6,13,2026-04-11,8,8,0,False
6,14,2026-04-18,16,16,0,False
6,15,2026-04-25,5,5,0,False
6,16,2026-05-02,5,5,0,False
6,17,2026-05-09,6,6,0,False
6,18,2026-05-16,8,7,0,False
6,19,2026-05-23,8,8,0,False
6,20,2026-05-30,8,8,0,False
6,21,2026-06-06,13,13,0,False
6,22,2026-06-13,4,4,0,False
6,23,2026-06-20,4,4,0,False
6,24,2026-06-27,7,6,0,False
6,25,2026-07-04,13,12,0,False
6,26,2026-07-11,9,8,0,False
6,27,2026-07-18,5,5,0,False
6,28,2026-07-25,7,7,0,False
6,29,2026-08-01,6,6,0,False
7,0,2026-04-18,5,2,0,False
7,1,2026-04-25,7,3,1,False
7,2,2026-05-02,5,2,0,False
7,3,2026-05-09,7,3,0,False
7,4,2026-05-16,7,3,1,False
7,5,2026-05-23,9,4,0,False
7,6,2026-05-30,5,2,0,False
7,7,2026-06-06,5,2,0,False
7,8,2026-06-13,3,2,0,False
7,9,2026-06-20,4,2,0,False
7,10,2026-06-27,4,2,0,False
7,11,2026-07-04,6,3,0,False
7,12,2026-07-11,6,3,0,False
7,13,2026-07-18,6,3,0,False
7,14,2026-07-25,4,2,0,False
7,15,2026-08-01,9,4,0,False
8,0,2026-02-14,3,4,0,False
8,1,2026-02-21,3,4,1,False
8,2,2026-02-28,2,3,0,False
8,3,2026-03-07,4,5,0,False
8,4,2026-03-14,2,2,0,False
8,5,2026-03-21,4,4,0,False
8,6,2026-03-28,3,3,0,False
8,7,2026-04-04,4,5,0,False
8,8,2026-04-11,5,5,0,False
8,9,2026-04-18,4,4,0,False
8,10,2026-04-25,5,5,0,False
8,11,2026-05-02,2,2,0,False
8,12,2026-05-09,4,4,0,False
8,13,2026-05-16,4,5,0,False
8,14,2026-05-23,4,5,0,False
8,15,2026-05-30,2,2,0,False
8,16,2026-06-06,4,4,0,False
8,17,2026-06-13,4,5,0,False
8,18,2026-06-20,4,4,1,False
8,19,2026-06-27,6,7,0,False
8,20,2026-07-04,2,2,0,False
8,21,2026-07-11,4,4,0,False
8,22,2026-07-18,4,4,0,False
8,23,2026-07-25,4,4,0,False
8,24,2026-08-01,7,8,0,False
9,0,2026-04-18,2,5,0,False
9,1,2026-04-25,3,7,1,False
9,2,2026-05-02,2,4,0,False
9,3,2026-05-09,2,4,1,False
9,4,2026-05-16,2,4,0,False
9,5,2026-05-23,2,3,0,False
9,6,2026-05-30,2,4,1,False
9,7,2026-06-06,2,4,0,False
9,8,2026-06-13,2,5,1,False
9,9,2026-06-20,2,3,0,False
9,10,2026-06-27,2,3,0,False
9,11,2026-07-04,1,2,0,False
9,12,2026-07-11,2,4,0,False
9,13,2026-07-18,1,2,0,False
9,14,2026-07-25,1,2,1,False
9,15,2026-08-01,1,2,0,False
10,0,2025-08-30,4,2,0,False
10,1,2025-09-06,3,1,0,False
10,2,2025-09-13,9,4,0,False
10,3,2025-09-20,5,2,0,False
10,4,2025-09-27,6,2,0,False
10,5,2025-10-04,2,1,0,False
10,6,2025-10-11,5,2,1,False
10,7,2025-10-18,3,1,0,False
10,8,2025-10-25,5,2,0,False
10,9,2025-11-01,5,2,0,False
10,10,2025-11-08,4,2,0,False
10,11,2025-11-15,2,1,0,False
10,12,2025-11-22,4,2,0,False
10,13,2025-11-29,6,3,0,False
10,14,2025-12-06,3,1,0,False
10,15,2025-12-13,4,2,0,False
10,16,2025-12-20,6,2,0,False
10,17,2025-12-27,3,1,0,False
10,18,2026-01-03,5,2,0,False
10,19,2026-01-10,4,1,0,False
10,20,2026-01-17,6,3,0,False
10,21,2026-01-24,2,1,0,False
10,22,2026-01-31,3,1,0,False
10,23,2026-02-07,4,2,0,False
10,24,2026-02-14,5,2,0,False
10,25,2026-02-21,3,1,0,False
10,26,2026-02-28,3,1,0,False
10,27,2026-03-07,5,2,0,False
10,28,2026-03-14,4,2,1,False
10,29,2026-03-21,2,1,0,False
10,30,2026-03-28,3,1,0,False
10,31,2026-04-04,3,1,0,False
10,32,2026-04-11,3,1,0,False
10,33,2026-04-18,3,1,0,False
10,34,2026-04-25,4,2,0,False
10,35,2026-05-02,3,1,0,False
10,36,2026-05-09,4,2,0,False
10,37,2026-05-16,2,1,0,False
10,38,2026-05-23,3,1,0,False
